id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon
14487V2479113,Fv 6 Vestby storsenter,VEHICLE,Vestby,Viken,F,FV1361 S1D10 m150,59.602619,10.742781
23392V625266,E6 Ulvensplitten Rampe Alnabru Økern,VEHICLE,Oslo,Oslo,E,EV6 S16D1 m5438 KD3 m125,59.923027,10.809383
64839V705283,KYLSTAD ,VEHICLE,Ringsaker,Innlandet,F,FV227 S1D1 m6465,60.869326,11.05234
00241V1175824,LAAHNE,VEHICLE,Tønsberg,Vestfold og Telemark,F,FV35 S2D1 m24,59.296885,10.344604
03520V1175848,NØTTERØYVEIEN,VEHICLE,Tønsberg,Vestfold og Telemark,F,FV308 S3D1 m2882,59.256891,10.415155
17557V21908,Frivoll,VEHICLE,Grimstad,Agder,F,FV3624 S1D1 m126,58.34534,8.582868
27025V443294,VINTERBRU,VEHICLE,Ås,Viken,E,EV18 S59D1 m90,59.743916,10.781757
66678V320582,AUGLEND,VEHICLE,Stavanger,Rogaland,E,EV39 S100D1 m11957,58.933463,5.712738
65128V249612,Valderøytunnelen,VEHICLE,Giske,Møre og Romsdal,R,RV658 S2D1 m1689,62.498771,6.154206
52721V857735,E6-Blodveien mot Rognan,VEHICLE,Saltdal,Nordland,K,KV15 S1D1 m155,67.097229,15.449751
14213V521376,E18 Nystrand,VEHICLE,Porsgrunn,Vestfold og Telemark,E,EV18 S27D1 m2752,59.110587,9.698228
28135V121429,PININGEN,VEHICLE,Kristiansand,Agder,F,FV453 S1D1 m2216,58.250229,7.992718
13600V805722,OLSVIKTUNNELEN,VEHICLE,Bergen,Vestland,F,FV562 S1D1 m1355,60.38428,5.215827
17681V704560,GJEMSØLUND BRU,VEHICLE,Kongsvinger,Innlandet,F,FV198 S1D1 m7054,60.192069,11.993815
76019V704826,RINGGATA ,VEHICLE,Hamar,Innlandet,F,FV187 S2D1 m468,60.805257,11.07079
70394B2415370,Vassbotnen sykkel,BICYCLE,Stavanger,Rogaland,K,KV350 S1D1 m434,58.89083,5.713739
40977V625551,Grorud Rampe mot Haugenstua,VEHICLE,Oslo,Oslo,R,RV163 S1D1 m6506 KD2 m115,59.950568,10.885944
55272V248971,Emlem,VEHICLE,Ålesund,Møre og Romsdal,F,FV60 S1D1 m4310,62.436625,6.442644
32977V384525,KVERNHAUGTUNNELEN,VEHICLE,Høyanger,Vestland,F,FV55 S19D1 m7528,61.207095,6.058275
97351V930305,ROAVVEGIEDDE RGR,VEHICLE,Deatnu-Tana,Troms og Finnmark,E,EV75 S11D1 m20,69.916608,27.03962
47738V704809,ARNKVERN MØLLE,VEHICLE,Ringsaker,Innlandet,F,FV1748 S1D1 m914,60.835044,11.084308
53529V930655,KIFJORD/DYFJORD X,VEHICLE,Lebesby,Troms og Finnmark,F,FV894 S1D1 m14148,70.93543,27.429457
43051V72322,Eggkleiva,VEHICLE,Skaun,Trøndelag,F,FV709 S1D1 m4270,63.287114,10.049651
41300V72150,Garli,VEHICLE,Midtre Gauldal,Trøndelag,E,EV6 S67D1 m40,62.891551,10.102077
21154V1060680,FAGERNES NORD (FV51),VEHICLE,Nord-Aurdal,Innlandet,F,FV51 S6D1 m1824,60.99808,9.211743
